IdCompra,Fecha,Fecha_Año,Fecha_Mes,Fecha_Periodo,IdProducto,Cantidad,Precio,IdProveedor
1,1/30/2015,2015,01,201501,42832,13,560.51,12
2,1/30/2015,2015,01,201501,42833,11,497.58,7
3,1/30/2015,2015,01,201501,42834,1,588.5,6
4,1/30/2015,2015,01,201501,42835,9,567.66,14
5,1/30/2015,2015,01,201501,42839,14,231.31,2
6,1/30/2015,2015,01,201501,42840,14,232.07,13
7,1/30/2015,2015,01,201501,42841,8,236.98,4
8,1/30/2015,2015,01,201501,42842,4,255.33,4
9,1/30/2015,2015,01,201501,42845,5,578.61,12
10,1/30/2015,2015,01,201501,42855,1,809.04,6
11,1/30/2015,2015,01,201501,42857,8,379.77,3
12,1/30/2015,2015,01,201501,42858,11,365.37,7
13,1/30/2015,2015,01,201501,42860,5,447.15,11
14,1/30/2015,2015,01,201501,42862,4,310.02,6
15,1/30/2015,2015,01,201501,42984,7,173.64,2
16,1/30/2015,2015,01,201501,42907,6,316.37,5
17,1/30/2015,2015,01,201501,42908,4,1081.16,13
18,1/30/2015,2015,01,201501,42911,8,1409.06,7
19,1/30/2015,2015,01,201501,42914,4,982,8
20,1/30/2015,2015,01,201501,42915,17,1225.11,13
21,1/30/2015,2015,01,201501,42917,7,97656.3,13
22,1/30/2015,2015,01,201501,42923,3,505.66,14
23,1/30/2015,2015,01,201501,42924,5,381.21,12
24,1/30/2015,2015,01,201501,42934,10,1187.08,1
25,1/30/2015,2015,01,201501,42939,13,1793.33,10
26,1/30/2015,2015,01,201501,42940,6,1515.75,4
27,1/30/2015,2015,01,201501,42941,6,,2
28,1/30/2015,2015,01,201501,42943,8,1706.29,12
29,1/30/2015,2015,01,201501,42944,5,2464.33,10
30,1/30/2015,2015,01,201501,42945,12,2082.62,7
31,1/30/2015,2015,01,201501,42947,4,1939.23,2
32,1/30/2015,2015,01,201501,42950,12,1685.63,11
33,1/30/2015,2015,01,201501,42952,8,3182.35,12
34,1/30/2015,2015,01,201501,42954,7,1825.08,4
35,1/30/2015,2015,01,201501,42955,2,1816.93,5
36,1/30/2015,2015,01,201501,42958,4,2786.46,2
37,1/30/2015,2015,01,201501,42959,8,2919.61,8
38,1/30/2015,2015,01,201501,42961,4,175098,12
39,1/30/2015,2015,01,201501,42963,10,1466.3,3
40,1/30/2015,2015,01,201501,42964,4,2035.16,11
41,1/30/2015,2015,01,201501,42966,10,2193.51,10
42,1/30/2015,2015,01,201501,42967,6,2447.26,5
43,1/30/2015,2015,01,201501,42968,8,2200.98,2
44,1/30/2015,2015,01,201501,42969,5,2591.87,2
45,1/30/2015,2015,01,201501,42970,17,2284.76,7
46,1/30/2015,2015,01,201501,42971,9,1872.1,11
47,1/30/2015,2015,01,201501,43030,4,785.5,3
48,1/30/2015,2015,01,201501,43031,8,929.22,12
49,1/30/2015,2015,01,201501,43032,6,730.2,11
50,1/30/2015,2015,01,201501,43033,12,746.46,13
51,1/30/2015,2015,01,201501,43037,9,720.86,4
52,1/30/2015,2015,01,201501,43039,3,545.04,4
53,1/30/2015,2015,01,201501,43041,8,610.06,4
54,1/30/2015,2015,01,201501,42816,16,996.8,13
55,1/30/2015,2015,01,201501,42818,3,1149.29,7
56,1/30/2015,2015,01,201501,42819,35,645.87,2
57,1/30/2015,2015,01,201501,42821,13,513.26,13
58,1/30/2015,2015,01,201501,42823,11,680.69,11
59,1/30/2015,2015,01,201501,42824,5,355.8,12
60,1/30/2015,2015,01,201501,42826,4,405.87,10
61,1/30/2015,2015,01,201501,42827,8,312.44,8
62,1/30/2015,2015,01,201501,42829,6,711.69,3
63,1/30/2015,2015,01,201501,42830,7,372.36,9
64,1/30/2015,2015,01,201501,42831,6,235.16,2
65,1/30/2015,2015,01,201501,42810,4,,3
66,1/30/2015,2015,01,201501,42811,9,1814.02,3
67,1/30/2015,2015,01,201501,42813,6,245.88,12
68,1/30/2015,2015,01,201501,42814,15,263.09,8
69,1/30/2015,2015,01,201501,42815,11,,7
70,1/30/2015,2015,01,201501,42904,10,99.05,6
71,1/30/2015,2015,01,201501,42905,26,335.59,3
72,1/30/2015,2015,01,201501,42906,5,213.35,5
73,1/30/2015,2015,01,201501,42737,2,,6
74,1/30/2015,2015,01,201501,42865,5,142.02,3
75,1/30/2015,2015,01,201501,42866,18,153.69,2
76,1/30/2015,2015,01,201501,42872,28,401.3,13
77,1/30/2015,2015,01,201501,42875,15,378.23,11
78,1/30/2015,2015,01,201501,42877,2,383.54,8
79,1/30/2015,2015,01,201501,42878,7,422.96,6
80,1/30/2015,2015,01,201501,42880,20,408.96,13
81,1/30/2015,2015,01,201501,42881,11,313.59,1
82,1/30/2015,2015,01,201501,42884,8,327.54,7
83,1/30/2015,2015,01,201501,42885,4,306.01,8
84,1/30/2015,2015,01,201501,42886,23,298.82,6
85,1/30/2015,2015,01,201501,42887,11,,3
86,1/30/2015,2015,01,201501,42888,7,318.44,6
87,1/30/2015,2015,01,201501,42890,12,311.06,11
88,1/30/2015,2015,01,201501,42891,7,337.56,4
89,1/30/2015,2015,01,201501,42892,8,375.41,11
90,1/30/2015,2015,01,201501,42894,8,318.9,12
91,1/30/2015,2015,01,201501,42896,7,338.12,8
92,1/30/2015,2015,01,201501,42897,13,311.28,14
93,1/30/2015,2015,01,201501,42898,13,323.51,4
94,1/30/2015,2015,01,201501,42985,5,1069.55,10
95,1/30/2015,2015,01,201501,42986,5,214.49,13
96,1/30/2015,2015,01,201501,42989,3,263.83,12
97,1/30/2015,2015,01,201501,42991,21,326.45,10
98,1/30/2015,2015,01,201501,42992,5,443.61,13
99,1/30/2015,2015,01,201501,42994,15,426.56,11
100,1/30/2015,2015,01,201501,42995,10,263.77,11
101,1/30/2015,2015,01,201501,42997,8,330.07,4
102,1/30/2015,2015,01,201501,42998,17,359.22,8
103,1/30/2015,2015,01,201501,43000,7,280.51,10
104,1/30/2015,2015,01,201501,43002,5,276.11,7
105,1/30/2015,2015,01,201501,43003,12,311.25,7
106,1/30/2015,2015,01,201501,43004,12,271.67,7
107,1/30/2015,2015,01,201501,43005,4,275.24,6
108,1/30/2015,2015,01,201501,43012,3,324.51,10
109,1/30/2015,2015,01,201501,43013,13,230.76,1
110,1/30/2015,2015,01,201501,43014,3,385.8,2
111,1/30/2015,2015,01,201501,43016,2,309.5,13
112,1/30/2015,2015,01,201501,43018,20,344.05,10
113,1/30/2015,2015,01,201501,43020,18,436.96,10
114,1/30/2015,2015,01,201501,43022,10,,5
115,1/30/2015,2015,01,201501,43024,20,367.43,8
116,1/30/2015,2015,01,201501,43026,8,411.53,6
117,1/30/2015,2015,01,201501,42754,17,975.97,2
118,1/30/2015,2015,01,201501,42755,6,785.85,7
119,1/30/2015,2015,01,201501,42758,27,1371.9,8
120,1/30/2015,2015,01,201501,42760,7,1099.95,9
121,1/30/2015,2015,01,201501,42763,11,1663.23,11
122,1/30/2015,2015,01,201501,42765,2,1302.6,6
123,1/30/2015,2015,01,201501,42766,4,5332.18,10
124,1/30/2015,2015,01,201501,42768,31,1335.75,10
125,1/30/2015,2015,01,201501,42769,4,1875.04,5
126,1/30/2015,2015,01,201501,42773,2,5309.59,1
127,1/30/2015,2015,01,201501,42774,14,4506.49,11
128,1/30/2015,2015,01,201501,42777,13,1865.98,7
129,1/30/2015,2015,01,201501,42778,28,1834.88,10
130,1/30/2015,2015,01,201501,42779,10,7481.5,11
131,1/30/2015,2015,01,201501,42782,6,2678.34,1
132,1/30/2015,2015,01,201501,42789,5,167.05,9
133,1/30/2015,2015,01,201501,42792,2,317.73,9
134,1/30/2015,2015,01,201501,42793,8,599.24,6
135,1/30/2015,2015,01,201501,42794,4,215.71,2
136,1/30/2015,2015,01,201501,42795,18,410.73,7
137,1/30/2015,2015,01,201501,42796,2,283.34,3
138,1/30/2015,2015,01,201501,42801,7,1950.04,5
139,1/30/2015,2015,01,201501,42926,32,59.21,1
140,1/30/2015,2015,01,201501,42929,3,249.15,2
141,1/30/2015,2015,01,201501,42931,23,212.31,5
142,1/30/2015,2015,01,201501,42853,5,483.89,10
143,1/30/2015,2015,01,201501,42870,17,134.46,3
144,1/30/2015,2015,01,201501,42899,9,131.3,7
145,1/30/2015,2015,01,201501,42900,9,192.97,5
146,1/30/2015,2015,01,201501,42928,15,97.84,4
147,1/30/2015,2015,01,201501,42975,16,164.95,13
148,1/30/2015,2015,01,201501,42976,2,151.51,6
149,1/30/2015,2015,01,201501,42977,4,88.78,10
150,1/30/2015,2015,01,201501,42978,5,72.24,11
151,1/30/2015,2015,01,201501,42979,2,68.33,14
152,1/30/2015,2015,01,201501,42980,6,86.82,12
153,1/30/2015,2015,01,201501,42982,11,7.8,13
154,2/27/2015,2015,02,201502,42832,22,530.11,6
155,2/27/2015,2015,02,201502,42833,9,645.24,1
156,2/27/2015,2015,02,201502,42836,13,611.73,7
157,2/27/2015,2015,02,201502,42837,2,333.79,9
158,2/27/2015,2015,02,201502,42838,4,710.45,11
159,2/27/2015,2015,02,201502,42839,18,279.78,5
160,2/27/2015,2015,02,201502,42842,10,273.31,10
161,2/27/2015,2015,02,201502,42843,5,481.56,12
162,2/27/2015,2015,02,201502,42844,18,1124.05,14
163,2/27/2015,2015,02,201502,42846,5,1900.31,10
164,2/27/2015,2015,02,201502,42847,13,1827.78,10
165,2/27/2015,2015,02,201502,42857,9,402.85,5
166,2/27/2015,2015,02,201502,42858,3,365.81,8
167,2/27/2015,2015,02,201502,42859,6,415.85,9
168,2/27/2015,2015,02,201502,42984,28,201.15,9
169,2/27/2015,2015,02,201502,42908,7,1131.45,3
170,2/27/2015,2015,02,201502,42910,4,1189,13
171,2/27/2015,2015,02,201502,42911,19,1179.98,1
172,2/27/2015,2015,02,201502,42912,15,1310.58,4
